Latitude,Longitude,Temperatura,Umidade,Data,Hora
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:36
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:41
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:46
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:51
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:26:56
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:01
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:06
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:11
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:16
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:21
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:26
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:31
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:36
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:41
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:46
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:27:51
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:27:56
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:01
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:06
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:11
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:28:16
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:28:21
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:26
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:31
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:36
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:41
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:46
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:51
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:28:56
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:29:01
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:29:06
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:29:11
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:29:16
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:29:21
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:29:26
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:29:31
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:29:36
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:29:41
-3.738678,-38.569698,30.0,36.0,01/02/2021,16:29:46
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:29:52
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:29:57
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:02
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:07
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:12
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:17
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:22
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:27
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:32
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:37
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:42
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:47
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:52
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:30:57
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:02
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:07
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:12
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:17
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:22
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:27
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:32
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:37
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:42
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:47
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:52
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:31:57
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:02
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:07
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:12
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:17
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:22
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:27
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:32
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:37
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:42
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:47
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:52
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:32:57
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:02
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:07
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:12
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:17
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:22
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:27
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:33
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:38
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:43
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:48
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:53
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:33:58
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:03
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:08
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:13
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:18
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:23
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:28
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:33
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:38
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:43
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:48
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:53
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:34:58
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:03
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:08
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:13
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:18
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:23
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:28
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:33
-3.738678,-38.569698,30.0,35.0,01/02/2021,16:35:38
